nra,estado,municipio
APEKE0901012,Ciudad de México,Álvaro Obregón
APH5T1505711,México,Naucalpan de Juárez
API1306600001,Hidalgo,Villa de Tezontepec
API3018900050,Veracruz de Ignacio de la Llave,Tuxpan
API831306611,Hidalgo,Villa de Tezontepec
APIRN1406711,Jalisco,Puerto Vallarta
APIRN2701411,Tabasco,Paraíso
APIRN2800311,Tamaulipas,Altamira
APIRN2803812,Tamaulipas,Tampico
APIRN3019311,Veracruz de Ignacio de la Llave,Veracruz
APIS13018911,Veracruz de Ignacio de la Llave,Tuxpan
APISH1605212,Michoacán de Ocampo,Lázaro Cárdenas
APL2W2403511,San Luis Potosí,Soledad de Graciano Sánchez
APL572402811,San Luis Potosí,San Luis Potosí
APM2601800323,Sonora,Cajeme
APM2605500078,Sonora,San Luis Río Colorado
APM2W1403912,Jalisco,Guadalajara
APM5I1503311,México,Ecatepec de Morelos
APM6E1902111,Nuevo León,General Escobedo
APM9U0803711,Chihuahua,Juárez
APMEA2115611,Puebla,Tehuacán
APMLK1605311,Michoacán de Ocampo,Morelia
APMMA1409811,Jalisco,San Pedro Tlaquepaque
APMMB0900711,Ciudad de México,Iztapalapa
APN1904600066,Nuevo León,San Nicolás de los Garza
