nra,anio,cantidad_reportes
ADIKE1503711,2013,1
ADLSE0706211,2013,1
ADLSE0706211,2014,1
ADLSE0706211,2015,1
ADLSE0706211,2016,1
ADLSE0706211,2017,1
ADLSE0706211,2018,1
ADLSE0706211,2019,1
ADLSE0706211,2020,1
ADLSE0706211,2021,1
ADLSE0706211,2022,1
ADM7T2402811,2005,1
ADM7T2402811,2006,1
ADM7T2402811,2007,1
ADM7T2402821,2009,1
ADM7T2402821,2010,1
ADM7T2402821,2011,1
ADM7T2402821,2012,1
ADM7T2402821,2013,1
ADUEE1000511,2012,1
ADUEE1000511,2013,1
AEA 91050021,2009,1
AEA910500211,2004,1
AEA910500211,2005,1
AEA910500211,2006,1
AEA910500211,2010,1
AEA910500211,2011,1
AEA910500211,2012,1
AEA910500211,2013,1
AEA9M1103711,2012,1
AEA9M1103711,2013,1
AEA9M2200611,2005,1
AEBRP2201411,2004,1
AEC0801900362,2017,1
AEC0801900362,2018,1
AEC0801900362,2019,1
AEC0801900362,2021,1
AEC0801900362,2022,1
AEC9M0801911,2014,1
AEC9M0801911,2015,1
AEC9M0801913,2005,1
AECEA0801911,2004,1
AEE8A0901011,2005,1
AEE8A0901011,2006,1
AEE8A0901011,2007,1
AEE8A0901011,2008,1
AEE8A0901011,2009,1
AEE8A0901011,2010,1
AEEBU0900711,2013,1
AEEBU0900711,2017,1
AEEBU0900711,2019,1
AEEBU0900711,2020,1
AEEBU0900711,2021,1
AEEBU0900711,2022,1
AEEBU0900712,2011,1
AEEBU0900712,2017,1
AEEBU0900712,2019,1
AEEBU0900712,2020,1
AEEBU0900712,2021,1
AEEBU0900712,2022,1
AEI6D0803711,2005,1
AEI6D0803711,2007,1
AEI6D0803711,2008,1
AEI6D0803711,2009,1
AEI6D0803711,2010,1
AEI6D0803711,2011,1
AEJ9M0803711,2005,1
AEJ9M0803711,2006,1
AEJ9M0803711,2007,1
AEJ9M0803712,2004,1
AEJ9M0803712,2005,1
AEJ9M0803712,2006,1
AEJ9M0803712,2007,1
AEL1501300158,2015,1
AEL1501300158,2019,1
AEL640600911,2005,1
AEL911501311,2006,1
AEL911501311,2007,1
AEL911501311,2008,1
AEL911501311,2009,1
AEL911501311,2010,1
AEL911501311,2011,1
AEL911501311,2012,1
AEL911501311,2013,1
AELLM1700411,2006,1
AEM0900700106,2013,1
AEM0900700106,2014,1
AEM0900700106,2015,1
AEM0900700106,2016,1
AEM0900700106,2017,1
AEM1507000029,2014,1
AEM1507000029,2015,1
AEM1507000029,2016,1
AEM1507000029,2017,1
AEM1507000029,2018,1
AEM1507000029,2019,1
AEM1507000029,2020,1
AEM1507000029,2021,1
AEM5T1101711,2012,1
AEM5T1101711,2013,1
AEM8A1507011,2006,1
AEM8A1507011,2007,1
AEM8A1507011,2008,1
AEM8A1507011,2009,1
AEM8T1900611,2005,1
AEM972803211,2004,1
AEM972803211,2005,1
AEM972803211,2006,1
AEM972803211,2007,1
AEM972803211,2008,1
AEM972803211,2010,1
AEM972803211,2011,1
AEM972803211,2014,1
AEM972803211,2015,1
AEM972803211,2016,1
AEM972803211,2017,1
AEM972803211,2018,1
AEM972803211,2019,1
AEM972803211,2020,1
AEM972803211,2021,1
AEM972803211,2022,1
AEM9M1503311,2008,1
AEMEA1507011,2004,1
AEMLS1502011,2014,1
AEMSP0805111,2010,1
AEMSP0805111,2011,1
AEMSP0805111,2012,1
AEMSP0805111,2013,1
AEMSP0805111,2014,1
AEMSP0805111,2015,1
AEMSP0805111,2016,1
AEMSP0805111,2017,1
AEMSP0805111,2018,1
AEMSP0805111,2019,1
AEMSP0805111,2020,1
AEMSP0805111,2021,1
AEMSP0805111,2022,1
AEMSP0805112,2012,1
AEMSP0805112,2013,1
AEMSP0805112,2014,1
AEMSP0805112,2015,1
AEMSP0805112,2016,1
AEMSP0805112,2017,1
AEMSP0805112,2018,1
AEMSP0805112,2019,1
AEMSP0805112,2020,1
AEMSP0805112,2021,1
AEMSP0805112,2022,1
AEN6A1900911,2008,1
AEN6A1900911,2009,1
AEN6A1900911,2010,1
AEN6A1900911,2011,1
AEN6A1900911,2012,1
AEN6A1900911,2013,1
AEN6A1900911,2017,1
AEN6A1900911,2018,1
AEN6A1900911,2019,1
AEN6A1900911,2020,1
AEN6A1900911,2021,1
AEN6A1900911,2022,1
AEO7T1301311,2006,1
AEO8A0901011,2004,1
AEO8A0901011,2005,1
AEO8A0901011,2006,1
AEO8A0901011,2007,1
AEO8A0901011,2008,1
AEO8A0901011,2009,1
AEO8A0901011,2010,1
AEP2107400033,2016,1
AEP2107400033,2017,1
AEP2107400033,2018,1
AEP7T1306311,2008,1
AEP7T1306311,2009,1
AEP7T1306311,2010,1
AEP7T1306311,2011,1
AEP7T1306311,2012,1
AEP7T1306311,2013,1
