CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
26021212110000011000000000U4,CARBÓN MINERAL,6 a 10 personas,Sonora,La Colorada,Julio César Madrid [Carbonera],429,2010-07,212110,Minería de carbón mineral,28.80814775,-110.61249456
26021212110000022100055087S1,ANTRACITA DE SONORA,11 a 30 personas,Sonora,San Javier,El Entronque,010A,2011-03,212110,Minería de carbón mineral,28.56186389,-109.75230528
26021212221000014101000000U3,COMPAÑIA MINERA PITALLA S.A. DE C.V.,251 y más personas,Sonora,La Colorada,El Columpio,429,2011-03,212221,Minería de oro,28.80585357,-110.5723033
26022212221000011001000000S7,MINA CUCURPE,251 y más personas,Sonora,Cucurpe,Bellota,290,2019-04,212221,Minería de oro,30.32529583,-110.45658889
26022212221000021000000000S6,MINAS DE OROCO RESOURCES,251 y más personas,Sonora,Cucurpe,El Cerro Prieto,318,2020-04,212221,Minería de oro,30.27222222,-110.70638889
26030212110000021101055087M4,ANTRACITA DE SONORA,11 a 30 personas,Sonora,San Javier,El Entronque,010A,2016-01,212110,Minería de carbón mineral,28.56186389,-109.75230528
26030212110000043000000000U8,MM MINERALES Y SERVICIOS SC DE RL,11 a 30 personas,Sonora,San Javier,El Entronque,010A,2020-04,212110,Minería de carbón mineral,28.58130525,-109.74575479
26030212221000073000000000U0,MINERA CARDEL,11 a 30 personas,Sonora,Hermosillo,Hermosillo,3009,2010-07,212221,Minería de oro,29.10410461,-110.94153
26030212221000131101025210M6,NUSANTARA DE MEXICO,251 y más personas,Sonora,Banámichi,El Salto,015A,2016-01,212221,Minería de oro,30.02074721,-110.16108376
26030212221000151101000000U4,MINA MULATOS,251 y más personas,Sonora,Sahuaripa,El Paredón,957,2016-01,212221,Minería de oro,28.63959514,-108.74211731
26030212221000166001022419M2,ORO GOLD,0 a 5 personas,Sonora,Hermosillo,Hermosillo,2015,2019-04,212221,Minería de oro,29.09493996,-110.94652412
26030212221000177000040292M9,SANTA ELENA ORO Y PLATA,251 y más personas,Sonora,Hermosillo,El Yuguito,4100,2019-04,212221,Minería de oro,29.05326694,-110.56445722
26030212221000221000000000U5,MINAS DE OROCO RESOURCES,101 a 250 personas,Sonora,Hermosillo,Hermosillo,3028,2020-04,212221,Minería de oro,29.09855288,-110.94087563
26030212221000251000025210S4,NUZANTARA DE MEXICO,11 a 30 personas,Sonora,Hermosillo,Hermosillo,298A,2020-11,212221,Minería de oro,29.07690078,-110.97030648
26030212221000261000055088M3,IMR BONANZA SA DE CV,6 a 10 personas,Sonora,Hermosillo,Hermosillo,2744,2020-11,212221,Minería de oro,29.03014036,-110.91126358
26030212221000271000055089M0,MOLIMENTALES DEL NOROESTE,11 a 30 personas,Sonora,Hermosillo,Hermosillo,3348,2020-11,212221,Minería de oro,29.07947021,-110.98230434
26030212221000281000000000U5,PROYECTOS Y DESARROLLOS PRODESA SA DE CV,101 a 250 personas,Sonora,Hermosillo,Hermosillo,1924,2020-11,212221,Minería de oro,29.09943889,-110.97353596
26030212221000296000000000U7,MINEXSON S.A DE C.V,101 a 250 personas,Sonora,Hermosillo,Hermosillo,5683,2020-11,212221,Minería de oro,29.07894635,-111.00708474
26030212222000071000000000U9,HQ METALES S DE RL DE CV,11 a 30 personas,Sonora,Hermosillo,Hermosillo,5467,2020-11,212222,Minería de plata,29.09947112,-110.98807531
26030212231000032000000000U5,PEAL MEXICO SA DE CV,6 a 10 personas,Sonora,Hermosillo,Hermosillo,3329,2020-11,212231,Minería de cobre,29.09707137,-110.91919038
26030212231000043000000000U2,VESCO HOLDING MEXICO SA DE CV,11 a 30 personas,Sonora,Hermosillo,Hermosillo,2015,2020-11,212231,Minería de cobre,29.09743557,-110.94049607
