estado,municipio,cve_ent
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Inde,10
Durango,Inde,10
Durango,Panuco de Coronado,10
Durango,Panuco de Coronado,10
Durango,Panuco de Coronado,10
Durango,Panuco de Coronado,10
Durango,Panuco de Coronado,10
Durango,Panuco de Coronado,10
Durango,Panuco de Coronado,10
Guanajuato,Allende,11
Guanajuato,Allende,11
Guanajuato,Allende,11
Guanajuato,Allende,11
Guanajuato,Allende,11
Guanajuato,Penjamo,11
Guanajuato,Penjamo,11
Guanajuato,Penjamo,11
Guanajuato,Penjamo,11
Guanajuato,Penjamo,11
Guanajuato,Penjamo,11
Guanajuato,Penjamo,11
Guerrero,Cutzamala de Pinzon,12
Guerrero,Cutzamala de Pinzon,12
Guerrero,Taxco de Alarcon,12
Guerrero,Taxco de Alarcon,12
Guerrero,Taxco de Alarcon,12
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Acatlan,13
Hidalgo,Nopala de Villagran,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Hidalgo,San Agustin Tlaxiaca,13
Jalisco,Ayotlan,14
Jalisco,Ayotlan,14
Jalisco,Ayotlan,14
