nra,estado,municipio
AMA522803211,TAMAULIPAS,Reynosa
AMA7T2201411,QUERETARO,Queretaro
AMA8A1403911,JALISCO,Guadalajara
AMA9M2803211,TAMAULIPAS,Reynosa
AMAAX1510411,MEXICO,Tlalnepantla de Baz
AMAL70600711,COLIMA,Manzanillo
AMARP2201411,QUERETARO,Queretaro
AMARP2501211,SINALOA,Mazatlan
AMARP2501211,Sinaloa,Mazatlán
AMBLM1306911,HIDALGO,Tizayuca
AMD1000500122,DURANGO,Durango
AMD1000500122,Durango,Durango
AMD1000500123,DURANGO,Durango
AMD1000500123,Durango,Durango
AMD1000500714,DURANGO,Durango
AMD1000500714,Durango,Durango
AMD1000500715,DURANGO,Durango
AMD1000500715,Durango,Durango
AMD3L1000511,DURANGO,Durango
AMD3L1000511,Durango,Durango
AME0200300155,BAJA CALIFORNIA,Tecate
AME0200400099,BAJA CALIFORNIA,Tijuana
AME0200400385,BAJA CALIFORNIA,Tijuana
AME0200400386,BAJA CALIFORNIA,Tijuana
AME0200400386,Baja California,Tijuana
AME0801900023,CHIHUAHUA,Chihuahua
AME0801900023,Chihuahua,Chihuahua
AME0803700792,CHIHUAHUA,Juarez
AME0803700792,Chihuahua,Juárez
AME0805100008,CHIHUAHUA,Ocampo
AME1104400036,Guanajuato,Villagrán
AME110600711,COLIMA,Manzanillo
AME1306100028,HIDALGO,Tepeapulco
AME1510601325,México,Toluca
AME1605200065,MICHOACAN,Lazaro Cardenas
AME1605200065,Michoacán de Ocampo,Lázaro Cárdenas
AME1901200031,NUEVO LEON,Cienega de Flores
AME1901200031,Nuevo León,Ciénega de Flores
AME1C0803711,CHIHUAHUA,Juarez
AME1I1901211,NUEVO LEON,Cienega de Flores
AME1I1901211,Nuevo León,Ciénega de Flores
AME2111400902,PUEBLA,Puebla
AME2111400902,Puebla,Puebla
AME2201101279,QUERETARO,El Marques
AME2201101279,Querétaro,El Marqués
AME2604200008,Michoacán de Ocampo,Copándaro
AME2604200008,SONORA,Cajeme
AME2604200008,SONORA,Navojoa
AME271403911,JALISCO,Guadalajara
AME271403911,Jalisco,Guadalajara
AME2802200064,TAMAULIPAS,Matamoros
AME2802200094,TAMAULIPAS,Matamoros
AME2902800003,TLAXCALA,Teolocholco
AME2902800003,Tlaxcala,Teolocholco
AME3008200001,VERACRUZ,Ixhuatlan del Sureste
AME3008200001,Veracruz de Ignacio de la Llave,Ixhuatlán del Sureste
AME3202600039,ZACATECAS,Mazapil
AME3202600039,Zacatecas,Mazapil
AME460803711,CHIHUAHUA,Juarez
AME510200411,BAJA CALIFORNIA,Tijuana
AME520200412,BAJA CALIFORNIA,Tijuana
AME560803711,CHIHUAHUA,Juarez
AME5Q1000511,DURANGO,Durango
AME5T0900311,Ciudad de México,Coyoacán
AME5T0900311,DISTRITO FEDERAL,Coyoacan
AME5T0901011,Ciudad de México,Álvaro Obregón
AME5T0901011,DISTRITO FEDERAL,Alvaro Obregon
AME5T0901211,Ciudad de México,Tlalpan
AME5T0901211,DISTRITO FEDERAL,Tlalpan
AME5U1510411,MEXICO,Tlalnepantla de Baz
AME5U1510411,México,Tlalnepantla de Baz
AME5W0900511,DISTRITO FEDERAL,Gustavo A. Madero
AME5X1510412,MEXICO,Tlalnepantla de Baz
AME5X1510412,México,Tlalnepantla de Baz
AME690901111,DISTRITO FEDERAL,Tlahuac
AME692201611,QUERETARO,San Juan del Rio
AME692201611,Querétaro,San Juan del Río
AME6E1510611,MEXICO,Toluca
AME6E1510612,México,Toluca
AME6E1904811,NUEVO LEON,Santa Catarina
AME6E2101511,PUEBLA,Amozoc
AME6E2101511,Puebla,Amozoc
AME7L1505711,MEXICO,Naucalpan de Juarez
AME7T1306111,HIDALGO,Tepeapulco
AME7T1306111,Hidalgo,Tepeapulco
AME7X0803711,CHIHUAHUA,Juarez
AME7X2201411,QUERETARO,Queretaro
AME860803711,CHIHUAHUA,Juarez
AME860803721,CHIHUAHUA,Juarez
AME8A1412011,JALISCO,Zapopan
AME8T0500212,COAHUILA,Acuna
AME911510411,MEXICO,Tlalnepantla de Baz
AME911902112,NUEVO LEON,Gral.  Escobedo
AME911902112,NUEVO LEON,Gral. Escobedo
AME912402811,SAN LUIS POTOSI,San Luis Potosi
AME912802211,TAMAULIPAS,Matamoros
AME9G2201411,QUERETARO,Queretaro
AME9G2402811,SAN LUIS POTOSI,San Luis Potosi
AME9M1901221,NUEVO LEON,Cienega de Flores
AME9M2201111,QUERETARO,El Marques
AME9M2201111,Querétaro,El Marqués
AME9M2201411,QUERETARO,Queretaro
AME9M2201421,QUERETARO,Queretaro
AME9M2802211,TAMAULIPAS,Matamoros
AME9M2802211,Tamaulipas,Matamoros
AMEBD1102011,GUANAJUATO,Leon
AMEBD2701411,TABASCO,Paraiso
AMEEA1510411,MEXICO,Tlalnepantla de Baz
