_id,latitudnorte,longitudoeste
65be16a76925a840ab8f485f,"20°49'4""","100°26'39"""
65be16a76925a840ab8f4860,"31°18'34""","-109°32'48"""
65be16a76925a840ab8f4861,"18°1'25""","94°35'30"""
65be16a76925a840ab8f4863,"19°19'20""","99°5'3"""
65be16a76925a840ab8f4864,"19°19'19""","99°5'3"""
65be16a76925a840ab8f4867,"20°56'13""","97°14'57"""
65be16a76925a840ab8f4868,"20°40'0""","101°21'0"""
65be16a76925a840ab8f4869,"20°30'35""","100°57'30"""
65be16a76925a840ab8f486a,"20°34'58""","100°37'10"""
65be16a76925a840ab8f486b,"25°31'36""","100°56'48"""
65be16a76925a840ab8f486c,"25°32'24""","100°56'20"""
65be16a76925a840ab8f486d,"19°31'11""","-99°7'24"""
65be16a76925a840ab8f486f,"19°6'53""","98°10'16"""
65be16a76925a840ab8f4870,"19°20'0""","99°8'0"""
65be16a76925a840ab8f4871,"19°7'0""","98°10'49"""
65be16a76925a840ab8f4873,"19°38'45""","99°5'28"""
65be16a76925a840ab8f4875,"25º42'12.97""","100º18'36.68"""
65be16a76925a840ab8f4878,"19°31'54""","-99°3'48"""
65be16a76925a840ab8f4879,"28°26'22""","106°48'52"""
65be16a76925a840ab8f487a,"21°1'38""","0.1°24'0"""
65be16a76925a840ab8f487b,"25º41'47""","100º19'10"""
65be16a76925a840ab8f487c,"19°11'45""","99°11'26"""
65be16a76925a840ab8f487d,"29°0'54""","110°54'57"""
65be16a76925a840ab8f487e,"28°42'40""","0.106°7'44"""
65be16a76925a840ab8f487f,"25º48'7.14""","100º17'41.69"""
65be16a76925a840ab8f4880,"19°4'20""","98°10'20"""
65be16a76925a840ab8f4881,"28°44'30""","106°9'40"""
65be16a76925a840ab8f4882,"19°29'47""","99°9'10"""
65be16a76925a840ab8f4883,"21°3'30""","100°28'00"""
65be16a76925a840ab8f4884,"26°55'21""","105°41'28"""
65be16a76925a840ab8f4885,"19°31'08.97""","98°51'52.42"""
65be16a76925a840ab8f4886,"19°21'41.57""","98°58'01.83"""
65be16a76925a840ab8f4887,"18°4'35""","96°08'40"""
65be16a76925a840ab8f4888,"19°24'20""","99°12'30"""
65be16a76925a840ab8f488b,"25°25'53""","-101°0'1"""
65be16a76925a840ab8f488c,"19°17'0""","98°26'0"""
65be16a76925a840ab8f488d,"19°23'45""","98°3'45"""
65be16a76925a840ab8f488f,"-99°3'17""","19°30'12"""
65be16a76925a840ab8f4891,"0°0'0""","0°0'0"""
65be16a76925a840ab8f4892,"0°0'0""","0°0'0"""
65be16a76925a840ab8f4893,"0°0'0""","0°0'0"""
65be16a76925a840ab8f4894,"18°39'0""","98°32'0"""
65be16a76925a840ab8f489b,"31°41'35""","-106°25'2"""
65be16a76925a840ab8f489c,"20°39'10""","100°25'15"""
65be16a76925a840ab8f489d,"25°43'42""","-100°17'12"""
65be16a76925a840ab8f489e,"25°33'25""","100°55'36"""
65be16a76925a840ab8f489f,"31°18'19""","111°57'18"""
65be16a76925a840ab8f48a0,"19°26'13""","99°11'14"""
65be16a76925a840ab8f48a1,"20°40'55""","-103°27'16"""
